AUG610;22.996893;53.841575;WARYŃSKIEGO 15               ;;;16-300;AUGUSTOW;POLAND;H20IA038459;;;;;;;;;11A5200554731007;21/08/2020;;;;BAT;1
AUG481;22.996550;53.838701;KANAŁOWA 2                   ;;;16-300;AUGUSTOW;POLAND;H20IA038458;;;;;;;;;11A5200554711007;21/08/2020;;;;BAT;1
AUG635;22.987339;53.844735;RYBACKA 22                   ;;;16-300;AUGUSTOW;POLAND;H20IA038456;;;;;;;;;11A5200554741007;21/08/2020;;;;BAT;1
AUG982;23.005340;53.837049;STRAŻY LEŚNEJ 10             ;;;16-300;AUGUSTOW;POLAND;H20IA038440;;;;;;;;;11A5200555561007;21/08/2020;;;;BAT;1
AUG1415;22.976742;53.840574;MICKIEWICZA 1B              ;;;16-300;AUGUSTOW;POLAND;H20IA038468;;;;;;;;;11A5200555521007;21/08/2020;;;;BAT;1
AUG1507;22.954490;53.847917;ZAKOLE 44                   ;;;16-300;AUGUSTOW;POLAND;I20BA251684;;;;;;;;;2697201060101007;20/08/2020;;;;BAT;1
AUG1376;22.961425;53.849309;WIŚNIOWA 43                 ;;;16-300;AUGUSTOW;POLAND;H20IA038445;;;;;;;;;11A5200555701007;21/08/2020;;;;BAT;1
AUG844;22.982615;53.835785;STORCZYKOWA 53               ;;;16-300;AUGUSTOW;POLAND;I20BA251677;;;;;;;;;2697201059811007;20/08/2020;;;;BAT;1
AUG6326;22.979867;53.835946;STORCZYKOWA 29              ;;;16-300;AUGUSTOW;POLAND;I20BA251676;;;;;;;;;2697201059991007;20/08/2020;;;;BAT;1
AUG846;22.977347;53.835936;STORCZYKOWA 24               ;;;16-300;AUGUSTOW;POLAND;I20BA005434;;;;;;;;;2697201059791007;20/08/2020;;;;BAT;1
AUG297;22.958920;53.850681;WIŚNIOWA 38                  ;;;16-300;AUGUSTOW;POLAND;I20BA251685;;;;;;;;;2697201059851007;20/08/2020;;;;BAT;1
AUG1458;22.964638;53.847974;WIŚNIOWA 3                  ;;;16-300;AUGUSTOW;POLAND;H20IA038442;;;;;;;;;11A5200555191007;21/08/2020;;;;BAT;1
AUG1316;22.961955;53.851687;WRZOSOWA 41                 ;;;16-300;AUGUSTOW;POLAND;H20IA038441;;;;;;;;;11A5200555131007;21/08/2020;;;;BAT;1
AUG1227;22.975142;53.842829;POLNA 9                     ;;;16-300;AUGUSTOW;POLAND;I20BA251665;;;;;;;;;2697201060271007;20/08/2020;;;;BAT;1
AUG252;22.974457;53.851754;NADRZECZNA 97                ;;;16-300;AUGUSTOW;POLAND;H20IB021612;;;;;;;;;11A5200555691007;21/08/2020;;;;BAT;1
AUG345;22.948945;53.852091;KAMIENNA 17                  ;;;16-300;AUGUSTOW;POLAND;I20BA251668;;;;;;;;;2697201060331007;20/08/2020;;;;BAT;1
AUG1533;22.999656;53.839881;WARYŃSKIEGO 33              ;;;16-300;AUGUSTOW;POLAND;H20IA038433;;;;;;;;;11A5200555541007;21/08/2020;;;;BAT;1
AUG2;22.989943;53.846063;PORTOWA 34                     ;;;16-300;AUGUSTOW;POLAND;H20IA038443;;;;;;;;;11A5200555161007;27/08/2020;;;;BAT;1
AUG1022;22.972777;53.850409;CICHA 9                     ;;;16-300;AUGUSTOW;POLAND;I20BA251662;;;;;;;;;2697201060251007;20/08/2020;;;;BAT;1
AUG1520;22.973582;53.853524;NADRZECZNA 110              ;;;16-300;AUGUSTOW;POLAND;I20BA251664;;;;;;;;;2697201060141007;20/08/2020;;;;BAT;1
AUG8457;23.029954;53.853601;TARTACZNA 15                ;;;16-300;AUGUSTOW;POLAND;H20IA038439;;;;;;;;;11A5200554771007;21/08/2020;;;;BAT;1
AUG85;22.961120;53.805546;BIAŁOBRZEGI 32                ;;;16-300;AUGUSTOW;POLAND;I20BA251667;;;;;;;;;2697201060201007;20/08/2020;;;;BAT;1
AUG5444;23.054425;53.795931;KOLNICA 16                  ;;;16-300;AUGUSTOW;POLAND;I20BA251679;;;;;;;;;2697201060171007;20/08/2020;;;;BAT;1
AUG6936;22.988690;53.793909;OSOWY GRĄD 12               ;;;16-300;AUGUSTOW;POLAND;I20BA251660;;;;;;;;;2697201060231007;20/08/2020;;;;BAT;1
AUG1343;22.967194;53.850651;WRZOSOWA 7                  ;;;16-300;AUGUSTOW;POLAND;I20BA251671;;;;;;;;;2697201060001007;20/08/2020;;;;BAT;1
AUG596;22.973493;53.849347;NOWOMIEJSKA 70A              ;;;16-300;AUGUSTOW;POLAND;I20BA005427;;;;;;;;;2697201059941007;20/08/2020;;;;BAT;1
AUG1423;22.978882;53.835977;STORCZYKOWA 25B             ;;;16-300;AUGUSTOW;POLAND;H20IA038450;;;;;;;;;11A5200555171007;21/08/2020;;;;BAT;1
AUG861;22.951800;53.853061;WIŚNIOWA 108                 ;;;16-300;AUGUSTOW;POLAND;H20IA038448;;;;;;;;;11A5200555151007;21/08/2020;;;;BAT;1
AUG5420;22.968708;53.800259;BIAŁOBRZEGI 76              ;;;16-300;AUGUSTOW;POLAND;I20BA251673;;;;;;;;;2697201060081007;21/08/2020;;;;BAT;1
AUG5755;22.982200;53.839638;HOŻA 9                      ;;;16-300;AUGUSTOW;POLAND;H20IA038431;;;;;;;;;11A5200555531007;21/08/2020;;;;BAT;1
AUG4161;23.093889;53.859118;STUDZIENICZNA 10            ;;;16-300;AUGUSTOW;POLAND;H20IA038434;;;;;;;;;11A5200555581007;21/08/2020;;;;BAT;1
AUG5859;23.034334;53.853970;TARTACZNA 36                ;;;16-300;AUGUSTOW;POLAND;H20IA038457;;;;;;;;;11A5200555141007;21/08/2020;;;;BAT;1
AUG3849;22.974319;53.852531;NADRZECZNA 94               ;;;16-300;AUGUSTOW;POLAND;H20IA038464;;;;;;;;;11A5200555511007;21/08/2020;;;;BAT;1
AUG191;23.009712;53.854500;TYTONIOWA 10                 ;;;16-300;AUGUSTOW;POLAND;I20BA251661;;;;;;;;;2697201060281007;21/08/2020;;;;BAT;1
AUG1142;22.966442;53.853066;STASZICA 1                  ;;;16-300;AUGUSTOW;POLAND;I20BA251670;;;;;;;;;2697201060181007;21/08/2020;;;;BAT;1
AUG1120;22.984888;53.845874;RYBACKA 2                   ;;;16-300;AUGUSTOW;POLAND;I20BA251672;;;;;;;;;2697201060131007;21/08/2020;;;;BAT;1
AUG9004;22.972686;53.844074;RAJGRODZKA 17               ;;;16-300;AUGUSTOW;POLAND;I20BA251674;;;;;;;;;2697201060151007;21/08/2020;;;;BAT;1
AUG841;22.973234;53.854115;NADRZECZNA 116               ;;;16-300;AUGUSTOW;POLAND;I20BA251675;;;;;;;;;2697201060011007;21/08/2020;;;;BAT;1
AUG827;23.099179;53.858113;STUDZIENICZNA 20             ;;;16-300;AUGUSTOW;POLAND;I20BA251678;;;;;;;;;2697201059891007;21/08/2020;;;;BAT;1
AUG1363;23.092548;53.860356;STUDZIENICZNA 8             ;;;16-300;AUGUSTOW;POLAND;I20BA251680;;;;;;;;;2697201059831007;21/08/2020;;;;BAT;1
AUG575;22.971881;53.854134;SPACEROWA 6                  ;;;16-300;AUGUSTOW;POLAND;I20BA251681;;;;;;;;;2697201060021007;21/08/2020;;;;BAT;1
AUG554;22.987348;53.843875;SIENKIEWICZA 28              ;;;16-300;AUGUSTOW;POLAND;I20BA251682;;;;;;;;;2697201060321007;21/08/2020;;;;BAT;1
AUG1110;22.968460;53.854178;KONARSKIEGO 24              ;;;16-300;AUGUSTOW;POLAND;I20BA251688;;;;;;;;;2697201060071007;21/08/2020;;;;BAT;1
AUG8990;22.978188;53.842500;WOJSKA POLSKIEGO 7          ;;;16-300;AUGUSTOW;POLAND;I20BB012425;;;;;;;;;2697201059801007;21/08/2020;;;;BAT;1
AUG4286;22.970286;53.847969;KOŚCIUSZKI 58               ;;;16-300;AUGUSTOW;POLAND;I20BA251666;;;;;;;;;2697201060031007;21/08/2020;;;;BAT;1
AUG3514;22.982307;53.845678;MOSTOWA 15                  ;;;16-300;AUGUSTOW;POLAND;I20BA251689;;;;;;;;;2697201060371007;21/08/2020;;;;BAT;1
AUG9010;22.964275;53.839514;DWORSKA DZ.1806/10          ;;;16-300;AUGUSTOW;POLAND;I20BA005431;;;;;;;;;2697201060301007;21/08/2020;;;;BAT;1
AUG370;23.024966;53.820892;CZARNUCHA 3                  ;;;16-300;AUGUSTOW;POLAND;H20IA038446;;;;;;;;;11A5200555621007;21/08/2020;;;;BAT;1
AUG104;22.986891;53.843512;HOŻA 31                      ;;;16-300;AUGUSTOW;POLAND;H20IA038444;;;;;;;;;11A5200555641007;21/08/2020;;;;BAT;1
AUG941;23.052629;53.794642;KOLNICA 16A                  ;;;16-300;AUGUSTOW;POLAND;H20IA038447;;;;;;;;;11A5200555201007;21/08/2020;;;;BAT;1
AUG150;22.983168;53.841147;KSIĘDZA SKORUPKI 26          ;;;16-300;AUGUSTOW;POLAND;H20IA038453;;;;;;;;;11A5200554801007;21/08/2020;;;;BAT;1
AUG643;22.983593;53.840873;KSIĘDZA SKORUPKI 30          ;;;16-300;AUGUSTOW;POLAND;H20IA038449;;;;;;;;;11A5200555651007;21/08/2020;;;;BAT;1
AUG5152;22.999279;53.839069;PROLETARIACKA 18            ;;;16-300;AUGUSTOW;POLAND;H20IA038465;;;;;;;;;11A5200555111007;21/08/2020;;;;BAT;1
AUG5471;22.969835;53.835521;WOJSKA POLSKIEGO 61A        ;;;16-300;AUGUSTOW;POLAND;H20IA038467;;;;;;;;;11A5200555631007;21/08/2020;;;;BAT;1
AUG147;22.983766;53.841114;KSIĘDZA SKORUPKI 31          ;;;16-300;AUGUSTOW;POLAND;H20IA038438;;;;;;;;;11A5200554781007;21/08/2020;;;;BAT;1
AUG602;22.982767;53.840166;HOŻA 11                      ;;;16-300;AUGUSTOW;POLAND;H20IB021613;;;;;;;;;11A5200555551007;21/08/2020;;;;BAT;1
AUG914;22.987027;53.843625;HOŻA 33                      ;;;16-300;AUGUSTOW;POLAND;I20BA005432;;;;;;;;;2697201059701007;21/08/2020;;;;BAT;1
AUG145;22.982796;53.841484;KSIĘDZA SKORUPKI 33          ;;;16-300;AUGUSTOW;POLAND;H20IA038435;;;;;;;;;11A5200555601007;21/08/2020;;;;BAT;1
AUG9015;22.034933;53.852444;BUKOWA 12A                  ;;;16-300;AUGUSTOW;POLAND;H20IA038466;;;;;;;;;11A5200555661007;21/08/2020;;;;BAT;1
AUG9017;22.953170;53.849411;KRZYWA 15                   ;;;16-300;AUGUSTOW;POLAND;H20IA038454;;;;;;;;;11A5200555181007;21/08/2020;;;;BAT;1
AUG9020;22.942723;53.847459;GLINKI DZ 1840/1            ;;;16-300;AUGUSTOW;POLAND;I20BA251669;;;;;;;;;2697201060241007;21/08/2020;;;;BAT;1
AUG9021;23.053107;53.785844;KOLNICA 50                  ;;;16-300;AUGUSTOW;POLAND;H20IA038455;;;;;;;;;11A5200555121007;21/08/2020;;;;BAT;1
AUG9023;23.000022;53.784781;OSOWY GRĄD DZ.48/4          ;;;16-300;AUGUSTOW;POLAND;H20IA038437;;;;;;;;;11A5200555591007;21/08/2020;;;;BAT;1
MIK1831;18.911576;50.194013;DOLINA JAMNY 1              ;;;43-190;MIKOLOW;POLAND;H19AV000295;;;;;;;;;11A5191035311007;30/12/2020;;;;MIK;1
MIK1830;18.911576;50.194013;DOLINA JAMNY 1              ;;;43-190;MIKOLOW;POLAND;H19OH903380;;;;;;;;;11A5191035321007;30/12/2020;;;;MIK;1
MIK17465;18.899016;50.172351;KOLEJOWA 4                 ;;;43-190;MIKOLOW;POLAND;C18SC007258;;;;;;;;;11A5191035281007;30/12/2020;;;;MIK;1
MIK4738;18.891145;50.154437;PRZYJACIOL 125              ;;;43-190;MIKOLOW;POLAND;C19SD009790;;;;;;;;;11A5191035301007;30/12/2020;;;;MIK;1
MIK8767;18.804927;50.202575;PRZELOTOWA 3                ;;;43-190;MIKOLOW;POLAND;C19JF001105;;;;;;;;;11A5191035291007;30/12/2020;;;;MIK;1
AUG570;22.970655;53.846943;KOPERNIKA 40                ;;;16-300;AUGUSTOW;POLAND;I20BB012454;;;;;;;;;2697201060061007;21/08/2020;;;;BAT;1
AUG9019;23.000210;53.784630;OSOWY GRĄD DZ 50/3         ;;;16-300;AUGUSTOW;POLAND;H20IA038432;;;;;;;;;11A5200555571007;21/08/2020;;;;BAT;1
AUG5622;22.979767;53.840934;SKORUPKI 12B               ;;;16-300;AUGUSTOW;POLAND;I20BB012422;;;;;;;;;2697201060121007;21/08/2020;;;;BAT;1
AUG1100;22.974573;53.842875;ŻABIA 5                    ;;;16-300;AUGUSTOW;POLAND;I20BB012428;;;;;;;;;2697201059931007;21/08/2020;;;;BAT;1
AUG5608;22.969805;53.830264;SŁOWACKIEGO 58             ;;;16-300;AUGUSTOW;POLAND;I20BB012421;;;;;;;;;2697201059881007;21/08/2020;;;;BAT;1
MIK1908;18.906110;50.187570;MIECZYSŁAWA DZIEŃDZIELA 44  ;;;43-190;MIKOLOW;POLAND;H19OH903377;;;;;;;;;11A5191035331007;07/01/2021;;;;MIK;1
MIK2000;18.884367;50.175400;POKOJU 4                    ;;;43-190;MIKOLOW;POLAND;H19AV000105;;;;;;;;;11A5191035261007;07/01/2021;;;;MIK;1
MIK2001;18.884367;50.175400;POKOJU 4                    ;;;43-190;MIKOLOW;POLAND;H19OF901293;;;;;;;;;11A5191035251007;07/01/2021;;;;MIK;1
MIK12495;18.850319;50.170802;GOLFOWA 2                  ;;;43-190;MIKOLOW;POLAND;C19SB056453;;;;;;;;;11A5191034851007;11/01/2021;;;;MIK;1
MIK12625;18.933178;50.180515;PODLESKA 78A               ;;;43-190;MIKOLOW;POLAND;C19SD009782;;;;;;;;;11A5191034861007;11/01/2021;;;;MIK;1
MIK1943;18.829720;50.225767;OŚWIĘCIMSKA 64              ;;;43-190;MIKOLOW;POLAND;C19SE821187;;;;;;;;;11A5191034931007;11/01/2021;;;;MIK;1
MIK6977;18.895927;50.180126;Brzozowa 27                ;;;43-190;MIKOLOW;POLAND;C20SB001215;;;;;;;;;11A5191035241007;11/01/2021;;;;MIK;1
MIK1912;18.806340;50.228260;Gliwicka 366               ;;;43-190;MIKOLOW;POLAND;C19JF001071;;;;;;;;;11A5191034841007;08/01/2021;;;;MIK;1
SOK7330001;23.487230;53.409710;KORCZAKA 7               ;;;16-100;SOKOLKA;POLAND;H21KB000680;;;;;;;;;11A5201236401007;29/01/2021;;;;SOK;1
SOK111111;23.523940;53.401136;WODNA 1111                ;;;16-100;SOKOLKA;POLAND;;;;;;;;;;;02/02/2021;;;;SOK;1
SOK16880001;23.489710;53.407810;Malmeda 2               ;;;16-100;SOKOLKA;POLAND;H21KB000662;;;;;;;;;11A5201236821007;29/01/2021;;;;SOK;1
SOK16850002;23.489660;53.407880;Malmeda 4               ;;;16-100;SOKOLKA;POLAND;H21KB000663;;;;;;;;;11A5201236831007;29/01/2021;;;;SOK;1
SOK16810001;23.489520;53.407860;Malmeda 6               ;;;16-100;SOKOLKA;POLAND;H21KB000664;;;;;;;;;11A5201236841007;29/01/2021;;;;SOK;1
SOK16920001;23.489300;53.408340;Malmeda 16              ;;;16-100;SOKOLKA;POLAND;H21KB000669;;;;;;;;;11A5201236891007;29/01/2021;;;;SOK;1
SOK16890001;23.489220;53.408430;Malmeda 18              ;;;16-100;SOKOLKA;POLAND;H21KB000670;;;;;;;;;11A5201236901007;29/01/2021;;;;SOK;1
SOK16860001;23.488560;53.410150;Malmeda 32              ;;;16-100;SOKOLKA;POLAND;H21KB000673;;;;;;;;;11A5201236331007;29/01/2021;;;;SOK;1
SOK65940001;23.488770;53.408720;Malmeda DZ 3522         ;;;16-100;SOKOLKA;POLAND;H21KB000674;;;;;;;;;11A5201236341007;29/01/2021;;;;SOK;1
SOK7320001;23.488070;53.409920;KORCZAKA 1               ;;;16-100;SOKOLKA;POLAND;H21KB000675;;;;;;;;;11A5201236351007;29/01/2021;;;;SOK;1
SOK7360001;23.487540;53.409800;KORCZAKA 5               ;;;16-100;SOKOLKA;POLAND;H21KB000678;;;;;;;;;11A5201236381007;29/01/2021;;;;SOK;1
SOK7350001;23.487090;53.409990;KORCZAKA 6               ;;;16-100;SOKOLKA;POLAND;H21KB000679;;;;;;;;;11A5201236391007;29/01/2021;;;;SOK;1
AUG4929;23.025765;53.855373;ROBOTNICZA 5               ;;;16-300;AUGUSTOW;POLAND;H20IA183067;;;;;;;;;11A5191086301007;07/02/2021;;;;BAT;1
AUG3765;22.980827;53.835182;BLUSZCZOWA 9               ;;;16-300;AUGUSTOW;POLAND;H20IB048891;;;;;;;;;11A5191034791007;07/02/2021;;;;BAT;1
AUG5856;22.995675;53.838132;LIMANOWSKIEGO 21           ;;;16-300;AUGUSTOW;POLAND;H20IA183063;;;;;;;;;11A5191086261007;07/02/2021;;;;BAT;1
AUG1153;22.996829;53.841254;WARYŃSKIEGO 18             ;;;16-300;AUGUSTOW;POLAND;H20IA183065;;;;;;;;;11A5191086281007;07/02/2021;;;;BAT;1
